,goals_scored,assists,clean_sheets,creativity,influence,threat,ict_index,bonus,bps,total_points,points,opponent_difficulty,next_opp_diff,was_home,value,value_efficiency,selected,transfers_balance,goals_scored_ewm_3,goals_scored_ewm_6,assists_ewm_3,assists_ewm_6,creativity_ewm_3,creativity_ewm_6,influence_ewm_3,influence_ewm_6,threat_ewm_3,threat_ewm_6,points_ewm_3,points_ewm_6,total_points_ewm_3,total_points_ewm_6
goals_scored,1.0,0.12508232017032675,0.15159777525193827,0.2351002634254716,0.7848779979802586,0.5610736992580379,0.615965885040641,0.7083479876347196,0.6901380456075751,0.26619248761139225,0.7951602289498637,-0.04305678714608662,0.0017191192824736461,0.011606448370693745,0.25253585837587095,0.2253381396008436,0.24044670280429523,0.07172651835164418,0.6700654374156854,0.5774533010493993,0.19719355994435242,0.20076624778282134,0.26171681528106594,0.2577819028168947,0.49125677008173485,0.4318425454473504,0.4221836372533976,0.3883632964715193,0.5066318493478333,0.44840839893758805,0.21976103058647753,0.21482313279525786
assists,0.12508232017032675,1.0,0.15266505685905915,0.4047075368617485,0.45834642701779327,0.26363734023793234,0.4375442313103953,0.34628938391306135,0.5060590926099315,0.22499388126643372,0.540553428203782,-0.04186192576415363,0.008747684774137546,0.012154090651372112,0.19751276599961418,0.20145425187674604,0.183083841756897,0.05611218475463991,0.19096110463566834,0.19626552822354623,0.6543876947475799,0.553923882415811,0.3301531582702925,0.3092605732730908,0.34704497273232277,0.31960342136301106,0.26873361900627535,0.26010688726361253,0.38500596376716334,0.3507245220023208,0.19338183402123812,0.18992139118692103
clean_sheets,0.15159777525193827,0.15266505685905915,1.0,0.33020537552278545,0.323774229252147,0.30136419845421786,0.37240598633567185,0.1440457887408421,0.3661869096454053,0.2525304977441359,0.4208962065022638,-0.0912420898774801,0.010400880931468051,0.03245030094860688,0.19329104594922988,0.24451784898282958,0.16917092173277828,0.07482008697287852,0.22466233706786454,0.2238121432992039,0.21673943560246076,0.2146004683700376,0.33226020364531783,0.3202322633788424,0.35215788312989965,0.3391804613288429,0.30828956490501397,0.2963814734631614,0.39020940168336526,0.36731533648149495,0.22284241216656103,0.2185260877113042
creativity,0.2351002634254716,0.4047075368617485,0.33020537552278545,1.0,0.6183872655176296,0.5084630942718121,0.8274653588283762,0.34976145603657,0.6671384714238348,0.4294219654071998,0.5621578772243666,-0.07233611211279037,0.00745818644961313,0.035931874696769006,0.36461856516506885,0.4002208986748074,0.34238474062350077,0.11956710578367018,0.36873497480221423,0.3764880513107968,0.47922449444141585,0.46869961886837047,0.7855074752290716,0.7292145946362923,0.6201613112160315,0.5961060159264521,0.5158160176775608,0.49581740432182897,0.5970954820486536,0.579185030228544,0.39114556290157276,0.38551132944091004
influence,0.7848779979802586,0.45834642701779327,0.323774229252147,0.6183872655176296,1.0,0.6606774025326845,0.8868789638649435,0.701140023092974,0.9353990315981688,0.4326825975762163,0.9251776368925652,-0.049990393985611434,0.006237585316295539,0.014861764754440935,0.326869530397019,0.41124578899061714,0.310457670914062,0.10119453075444618,0.6315590107691936,0.5728032755334044,0.46680785352199083,0.44266429884175706,0.5724489955188229,0.5461560142434836,0.7568886785706195,0.6928409076901001,0.5598861014198868,0.5238403279205541,0.7159076077822344,0.6591606026652803,0.3750498768378031,0.3678600248891096
threat,0.5610736992580379,0.26363734023793234,0.30136419845421786,0.5084630942718121,0.6606774025326845,1.0,0.8496453342225982,0.4362780174034138,0.6074215037010057,0.42025922595448884,0.6722236122340973,-0.06990182336623012,0.00037832722427563807,0.0371085021824743,0.43623265350420126,0.35820297521746847,0.3925972456723076,0.14283165621846908,0.5820522235536327,0.5603763461730262,0.38440712739925603,0.38686145818547174,0.5117124560819918,0.49611544050310846,0.5995801834265515,0.5692286869696038,0.7767706268390162,0.7194379742439273,0.6318148636699683,0.6038771601096218,0.37647086718144973,0.371340993611107
ict_index,0.615965885040641,0.4375442313103953,0.37240598633567185,0.8274653588283762,0.8868789638649435,0.8496453342225982,1.0,0.5783118219065437,0.859799067816547,0.4998070947548381,0.8407132845313504,-0.0750676570874109,0.005473128219216862,0.03434613118182414,0.4404653588122043,0.45551978830631107,0.4083275312528079,0.1422185501518759,0.6171506971607239,0.5889576561628836,0.517850282029971,0.5054927266565196,0.7278800870477802,0.6897493093339527,0.7696969668392916,0.7236765578968394,0.7243881666120514,0.6798893780584285,0.7577343108197496,0.7178810042933841,0.44541715816974914,0.43843267384780227
bonus,0.7083479876347196,0.34628938391306135,0.1440457887408421,0.34976145603657,0.701140023092974,0.4362780174034138,0.5783118219065437,1.0,0.6775376832787242,0.24457451392639917,0.7666029754590533,-0.04731316392105545,0.003842182708924769,0.01817133286913385,0.2119729917143363,0.21499150325832841,0.21601078786489752,0.06840247856095977,0.49353674314694485,0.43050684041101656,0.3060116044673767,0.2840494870911945,0.31100347814828677,0.29609100076022865,0.4541704183115897,0.4029037863364926,0.3376556987073801,0.3115343569115981,0.4779680676610867,0.4209308087262103,0.19988718997921653,0.1949544190538112
bps,0.6901380456075751,0.5060590926099315,0.3661869096454053,0.6671384714238348,0.9353990315981688,0.6074215037010057,0.859799067816547,0.6775376832787242,1.0,0.45129183000605966,0.9275527372572199,-0.05101928490340338,0.007637784118411251,0.017836582442619788,0.32561381031280906,0.4387120134010207,0.3080146511178217,0.10311419239679805,0.5850326638980302,0.5367432505053509,0.5026095342218251,0.47484728034867685,0.6193900537784051,0.5907834290901898,0.7540661927368427,0.6982512929857635,0.5431679900220241,0.5119109923572881,0.7389864216321027,0.6836304046391237,0.3924844517199057,0.3849116520385963
total_points,0.26619248761139225,0.22499388126643372,0.2525304977441359,0.4294219654071998,0.4326825975762163,0.42025922595448884,0.4998070947548381,0.24457451392639917,0.45129183000605966,1.0,0.45612718572559097,-0.013376500126294065,-0.011213324421851814,0.000549442838801759,0.5065639717626325,0.9527015916693917,0.5410816341673026,0.06850301296399428,0.5216284943110465,0.5640556193323893,0.45243597517701956,0.48749326388126396,0.6073985950779274,0.6302700059709062,0.6606526357266763,0.6927689285400797,0.6088246443531173,0.6342275871264704,0.6883631451919364,0.7206005724193407,0.9947234748181067,0.9909322594308396
points,0.7951602289498637,0.540553428203782,0.4208962065022638,0.5621578772243666,0.9251776368925652,0.6722236122340973,0.8407132845313504,0.7666029754590533,0.9275527372572199,0.45612718572559097,1.0,-0.05595086357165401,0.0061429850626135004,0.02024616416760871,0.3666922806421942,0.42638113849576437,0.33770190070647166,0.110082528401376,0.6620988116610607,0.6056608157587735,0.5220437218060066,0.49006500123210467,0.558625631237428,0.5389782847134779,0.7258554667090572,0.6692661908770591,0.5990231299643918,0.5658626874534712,0.7625616520629286,0.7002589914411838,0.39410907194162653,0.38658746903990676
opponent_difficulty,-0.04305678714608662,-0.04186192576415363,-0.0912420898774801,-0.07233611211279037,-0.049990393985611434,-0.06990182336623012,-0.0750676570874109,-0.04731316392105545,-0.05101928490340338,-0.013376500126294065,-0.05595086357165401,1.0,-0.07159827387887431,-0.15053037965539756,-0.012887771070850368,-0.011013288216444874,-0.017398152709366177,-0.04583719898619497,-0.024221789638389713,-0.019983792969490998,-0.021752462558761843,-0.017587127221082754,-0.024705819889573717,-0.017957919673141715,-0.020383349311475264,-0.016052724394710106,-0.02726198593609606,-0.02127382015114382,-0.023186702905286457,-0.018312985571534813,-0.011114956337905529,-0.010795955603341158
next_opp_diff,0.0017191192824736461,0.008747684774137546,0.010400880931468051,0.00745818644961313,0.006237585316295539,0.00037832722427563807,0.005473128219216862,0.003842182708924769,0.007637784118411251,-0.011213324421851814,0.0061429850626135004,-0.07159827387887431,1.0,0.07886106285631683,-0.011170816297290836,-0.008233920276477373,-0.01076545220927558,-0.019393438865181103,-0.0030671464361375217,-0.003910613960271898,0.0015598315412926407,0.0006266726718825852,0.001720624207696115,0.0011378413786274518,-0.0004843196916638416,-0.0012406724005843573,-0.003675993661880874,-0.004711948069301302,-0.0009960020301766743,-0.0016741569771642035,-0.011863365057312066,-0.011673309176588733
was_home,0.011606448370693745,0.012154090651372112,0.03245030094860688,0.035931874696769006,0.014861764754440935,0.0371085021824743,0.03434613118182414,0.01817133286913385,0.017836582442619788,0.000549442838801759,0.02024616416760871,-0.15053037965539756,0.07886106285631683,1.0,-0.0006791152298225038,0.0010523781327416673,0.001433538657031737,0.015106716790010697,0.0016389075999399326,0.0010383895083744888,0.0017214502669750493,0.0009238191598636298,0.006379280035678834,0.004229265912466765,0.0018611166946645521,0.001279255352525397,0.005400410602486995,0.0029282550372802074,0.0029134746793205847,0.0019390309775098014,5.346026969408957e-05,0.00011201737265954277
value,0.25253585837587095,0.19751276599961418,0.19329104594922988,0.36461856516506885,0.326869530397019,0.43623265350420126,0.4404653588122043,0.2119729917143363,0.32561381031280906,0.5065639717626325,0.3666922806421942,-0.012887771070850368,-0.011170816297290836,-0.0006791152298225038,1.0,0.302639383352076,0.6001640820174137,0.04107944397819444,0.5046879683762268,0.5488628299296848,0.40695827711215155,0.44460294875929657,0.5208047289478531,0.5448631586871684,0.506414410860015,0.534333571608024,0.6334124454874204,0.6605008948838741,0.5598259066252613,0.5891789005212974,0.4893934202139453,0.49184324893127096
value_efficiency,0.2253381396008436,0.20145425187674604,0.24451784898282958,0.4002208986748074,0.41124578899061714,0.35820297521746847,0.45551978830631107,0.21499150325832841,0.4387120134010207,0.9527015916693917,0.42638113849576437,-0.011013288216444874,-0.008233920276477373,0.0010523781327416673,0.302639383352076,1.0,0.38108788855103953,0.05313273223920033,0.43617305793021977,0.4702825867129864,0.4028369642868113,0.431903473016969,0.5652955381577963,0.5849110414417997,0.6245861111101267,0.6534675088011496,0.5181263932323383,0.5388979515531408,0.6397467011905897,0.6682446998675474,0.9482438517786322,0.9432440478164769
selected,0.24044670280429523,0.183083841756897,0.16917092173277828,0.34238474062350077,0.310457670914062,0.3925972456723076,0.4083275312528079,0.21601078786489752,0.3080146511178217,0.5410816341673026,0.33770190070647166,-0.017398152709366177,-0.01076545220927558,0.001433538657031737,0.6001640820174137,0.38108788855103953,1.0,0.15785890143267572,0.554005098232574,0.6078190992123718,0.41448972287855523,0.457374864963461,0.49492470368303315,0.5154683192870637,0.5299217097353756,0.5628365861377485,0.5895127447325328,0.6126678424371074,0.567699964993424,0.6013613079913429,0.523010597643842,0.5230440985434421
transfers_balance,0.07172651835164418,0.05611218475463991,0.07482008697287852,0.11956710578367018,0.10119453075444618,0.14283165621846908,0.1422185501518759,0.06840247856095977,0.10311419239679805,0.06850301296399428,0.110082528401376,-0.04583719898619497,-0.019393438865181103,0.015106716790010697,0.04107944397819444,0.05313273223920033,0.15785890143267572,1.0,0.21357944381795368,0.1871912309802143,0.11970365522275599,0.10448216848496349,0.09257924161107386,0.075233624894218,0.1661743008855163,0.139596826103252,0.13895574170675487,0.11476948716300807,0.17635380243443308,0.1479717695220984,0.047842379486049656,0.04323991664414502
goals_scored_ewm_3,0.6700654374156854,0.19096110463566834,0.22466233706786454,0.36873497480221423,0.6315590107691936,0.5820522235536327,0.6171506971607239,0.49353674314694485,0.5850326638980302,0.5216284943110465,0.6620988116610607,-0.024221789638389713,-0.0030671464361375217,0.0016389075999399326,0.5046879683762268,0.43617305793021977,0.554005098232574,0.21357944381795368,1.0,0.9793823415807154,0.36483847762088006,0.38187379191459747,0.4929198978661391,0.49729838031611273,0.7861336309273029,0.7632841549341265,0.7352208576204475,0.7225916313168469,0.821307202194717,0.7987603387335357,0.4676035082900946,0.4575617151164974
goals_scored_ewm_6,0.5774533010493993,0.19626552822354623,0.2238121432992039,0.3764880513107968,0.5728032755334044,0.5603763461730262,0.5889576561628836,0.43050684041101656,0.5367432505053509,0.5640556193323893,0.6056608157587735,-0.019983792969490998,-0.003910613960271898,0.0010383895083744888,0.5488628299296848,0.4702825867129864,0.6078190992123718,0.1871912309802143,0.9793823415807154,1.0,0.3838535009201322,0.40647034986753794,0.5178200490056324,0.5288977493022048,0.7874620750790721,0.7898793198518116,0.7572154300229165,0.7613133134074387,0.8260975356424746,0.8287415186212229,0.5192526150815879,0.5117946391920064
assists_ewm_3,0.19719355994435242,0.6543876947475799,0.21673943560246076,0.47922449444141585,0.46680785352199083,0.38440712739925603,0.517850282029971,0.3060116044673767,0.5026095342218251,0.45243597517701956,0.5220437218060066,-0.021752462558761843,0.0015598315412926407,0.0017214502669750493,0.40695827711215155,0.4028369642868113,0.41448972287855523,0.11970365522275599,0.36483847762088006,0.3838535009201322,1.0,0.9772195597177794,0.6102064388513166,0.6049122605316584,0.6155869278649657,0.609765844581569,0.5180872708867421,0.5190767987341462,0.6724570800065207,0.6630915760032298,0.4119772420920155,0.4051560076888728
assists_ewm_6,0.20076624778282134,0.553923882415811,0.2146004683700376,0.46869961886837047,0.44266429884175706,0.38686145818547174,0.5054927266565196,0.2840494870911945,0.47484728034867685,0.48749326388126396,0.49006500123210467,-0.017587127221082754,0.0006266726718825852,0.0009238191598636298,0.44460294875929657,0.431903473016969,0.457374864963461,0.10448216848496349,0.38187379191459747,0.40647034986753794,0.9772195597177794,1.0,0.6333887871751828,0.6409310675434383,0.6299502805710201,0.6397495889473768,0.5429849877999768,0.5524731134184301,0.685270846291506,0.6938129663795826,0.45292433163219536,0.44806237831520757
creativity_ewm_3,0.26171681528106594,0.3301531582702925,0.33226020364531783,0.7855074752290716,0.5724489955188229,0.5117124560819918,0.7278800870477802,0.31100347814828677,0.6193900537784051,0.6073985950779274,0.558625631237428,-0.024705819889573717,0.001720624207696115,0.006379280035678834,0.5208047289478531,0.5652955381577963,0.49492470368303315,0.09257924161107386,0.4929198978661391,0.5178200490056324,0.6102064388513166,0.6333887871751828,1.0,0.989061164131937,0.8099319323924925,0.8153366843668035,0.6920479795094533,0.6914576799285497,0.7902138690816624,0.7973486378265423,0.5657804805858953,0.5584897661527176
creativity_ewm_6,0.2577819028168947,0.3092605732730908,0.3202322633788424,0.7292145946362923,0.5461560142434836,0.49611544050310846,0.6897493093339527,0.29609100076022865,0.5907834290901898,0.6302700059709062,0.5389782847134779,-0.017957919673141715,0.0011378413786274518,0.004229265912466765,0.5448631586871684,0.5849110414417997,0.5154683192870637,0.075233624894218,0.49729838031611273,0.5288977493022048,0.6049122605316584,0.6409310675434383,0.989061164131937,1.0,0.8075477114171153,0.8273976231236253,0.6972879180236173,0.7078837994829182,0.7914618118293116,0.81141246310345,0.5935348683989112,0.5882398961863838
influence_ewm_3,0.49125677008173485,0.34704497273232277,0.35215788312989965,0.6201613112160315,0.7568886785706195,0.5995801834265515,0.7696969668392916,0.4541704183115897,0.7540661927368427,0.6606526357266763,0.7258554667090572,-0.020383349311475264,-0.0004843196916638416,0.0018611166946645521,0.506414410860015,0.6245861111101267,0.5299217097353756,0.1661743008855163,0.7861336309273029,0.7874620750790721,0.6155869278649657,0.6299502805710201,0.8099319323924925,0.8075477114171153,1.0,0.9871013917922021,0.7801642295421397,0.7712922884843516,0.9544681159213165,0.9432188237265231,0.6029159220272927,0.5921063173980701
influence_ewm_6,0.4318425454473504,0.31960342136301106,0.3391804613288429,0.5961060159264521,0.6928409076901001,0.5692286869696038,0.7236765578968394,0.4029037863364926,0.6982512929857635,0.6927689285400797,0.6692661908770591,-0.016052724394710106,-0.0012406724005843573,0.001279255352525397,0.534333571608024,0.6534675088011496,0.5628365861377485,0.139596826103252,0.7632841549341265,0.7898793198518116,0.609765844581569,0.6397495889473768,0.8153366843668035,0.8273976231236253,0.9871013917922021,1.0,0.7835270362249172,0.7906702307739302,0.9448965026225024,0.9571122077822022,0.6445562815774915,0.6366842378583736
threat_ewm_3,0.4221836372533976,0.26873361900627535,0.30828956490501397,0.5158160176775608,0.5598861014198868,0.7767706268390162,0.7243881666120514,0.3376556987073801,0.5431679900220241,0.6088246443531173,0.5990231299643918,-0.02726198593609606,-0.003675993661880874,0.005400410602486995,0.6334124454874204,0.5181263932323383,0.5895127447325328,0.13895574170675487,0.7352208576204475,0.7572154300229165,0.5180872708867421,0.5429849877999768,0.6920479795094533,0.6972879180236173,0.7801642295421397,0.7835270362249172,1.0,0.9888123406265048,0.8315002873603737,0.8362192673614932,0.5633102427115562,0.5562170279837937
threat_ewm_6,0.3883632964715193,0.26010688726361253,0.2963814734631614,0.49581740432182897,0.5238403279205541,0.7194379742439273,0.6798893780584285,0.3115343569115981,0.5119109923572881,0.6342275871264704,0.5658626874534712,-0.02127382015114382,-0.004711948069301302,0.0029282550372802074,0.6605008948838741,0.5388979515531408,0.6126678424371074,0.11476948716300807,0.7225916313168469,0.7613133134074387,0.5190767987341462,0.5524731134184301,0.6914576799285497,0.7078837994829182,0.7712922884843516,0.7906702307739302,0.9888123406265048,1.0,0.8253691743942745,0.845931834626799,0.5953046297219777,0.5904898464287673
points_ewm_3,0.5066318493478333,0.38500596376716334,0.39020940168336526,0.5970954820486536,0.7159076077822344,0.6318148636699683,0.7577343108197496,0.4779680676610867,0.7389864216321027,0.6883631451919364,0.7625616520629286,-0.023186702905286457,-0.0009960020301766743,0.0029134746793205847,0.5598259066252613,0.6397467011905897,0.567699964993424,0.17635380243443308,0.821307202194717,0.8260975356424746,0.6724570800065207,0.685270846291506,0.7902138690816624,0.7914618118293116,0.9544681159213165,0.9448965026225024,0.8315002873603737,0.8253691743942745,1.0,0.9875214508525796,0.6277076108304932,0.6164921693173158
points_ewm_6,0.44840839893758805,0.3507245220023208,0.36731533648149495,0.579185030228544,0.6591606026652803,0.6038771601096218,0.7178810042933841,0.4209308087262103,0.6836304046391237,0.7206005724193407,0.7002589914411838,-0.018312985571534813,-0.0016741569771642035,0.0019390309775098014,0.5891789005212974,0.6682446998675474,0.6013613079913429,0.1479717695220984,0.7987603387335357,0.8287415186212229,0.6630915760032298,0.6938129663795826,0.7973486378265423,0.81141246310345,0.9432188237265231,0.9571122077822022,0.8362192673614932,0.845931834626799,0.9875214508525796,1.0,0.6701954725481756,0.6620605362817054
total_points_ewm_3,0.21976103058647753,0.19338183402123812,0.22284241216656103,0.39114556290157276,0.3750498768378031,0.37647086718144973,0.44541715816974914,0.19988718997921653,0.3924844517199057,0.9947234748181067,0.39410907194162653,-0.011114956337905529,-0.011863365057312066,5.346026969408957e-05,0.4893934202139453,0.9482438517786322,0.523010597643842,0.047842379486049656,0.4676035082900946,0.5192526150815879,0.4119772420920155,0.45292433163219536,0.5657804805858953,0.5935348683989112,0.6029159220272927,0.6445562815774915,0.5633102427115562,0.5953046297219777,0.6277076108304932,0.6701954725481756,1.0,0.998995704105156
total_points_ewm_6,0.21482313279525786,0.18992139118692103,0.2185260877113042,0.38551132944091004,0.3678600248891096,0.371340993611107,0.43843267384780227,0.1949544190538112,0.3849116520385963,0.9909322594308396,0.38658746903990676,-0.010795955603341158,-0.011673309176588733,0.00011201737265954277,0.49184324893127096,0.9432440478164769,0.5230440985434421,0.04323991664414502,0.4575617151164974,0.5117946391920064,0.4051560076888728,0.44806237831520757,0.5584897661527176,0.5882398961863838,0.5921063173980701,0.6366842378583736,0.5562170279837937,0.5904898464287673,0.6164921693173158,0.6620605362817054,0.998995704105156,1.0
